2025/10/30 08:53:09 [notice] 1#1: using the "epoll" event method
2025/10/30 08:53:09 [notice] 1#1: nginx/1.29.1
2025/10/30 08:53:09 [notice] 1#1: built by gcc 12.2.0 (Debian 12.2.0-14+deb12u1) 
2025/10/30 08:53:09 [notice] 1#1: OS: Linux 6.6.87.2-microsoft-standard-WSL2
2025/10/30 08:53:09 [notice] 1#1: getrlimit(RLIMIT_NOFILE): 1048576:1048576
2025/10/30 08:53:09 [notice] 1#1: start worker processes
2025/10/30 08:53:09 [notice] 1#1: start worker process 28
2025/10/30 08:53:09 [notice] 1#1: start worker process 29
2025/10/30 08:53:09 [notice] 1#1: start worker process 30
2025/10/30 08:53:09 [notice] 1#1: start worker process 31
2025/10/30 08:53:09 [notice] 1#1: start worker process 32
2025/10/30 08:53:09 [notice] 1#1: start worker process 33
2025/10/30 08:53:09 [notice] 1#1: start worker process 34
2025/10/30 08:53:09 [notice] 1#1: start worker process 35
2025/10/30 08:53:09 [notice] 1#1: start worker process 36
2025/10/30 08:53:09 [notice] 1#1: start worker process 37
2025/10/30 08:53:09 [notice] 1#1: start worker process 38
2025/10/30 08:53:09 [notice] 1#1: start worker process 39
